Valid Path,Path Number,Destination Coordinate,Destination Index,After Phonetic Merger
u,1,"(0, 0, 1)",1,u
uu,2,"(0, 0, 2)",2,U
a,3,"(0, 1, 0)",3,a
au,4,"(0, 1, 1)",4,o
ua,5,"(0, 1, 1)",4,wa
auu,6,"(0, 1, 2)",5,aU
uau,7,"(0, 1, 2)",5,wo
uua,8,"(0, 1, 2)",5,uwa
aa,9,"(0, 2, 0)",6,A
uaa,10,"(0, 2, 1)",7,uA
aua,11,"(0, 2, 1)",7,awa
aau,12,"(0, 2, 1)",7,ao
uaau,13,"(0, 2, 2)",8,wao
uuaa,14,"(0, 2, 2)",8,UA
uaua,15,"(0, 2, 2)",8,wawa
auau,16,"(0, 2, 2)",8,awo
auua,17,"(0, 2, 2)",8,owa
aauu,18,"(0, 2, 2)",8,AU
i,19,"(1, 0, 0)",9,i
ui,20,"(1, 0, 1)",10,wi
iu,21,"(1, 0, 1)",10,yu
uiu,22,"(1, 0, 2)",11,uyu
uui,23,"(1, 0, 2)",11,uwi
iuu,24,"(1, 0, 2)",11,iU
ai,25,"(1, 1, 0)",12,e
ia,26,"(1, 1, 0)",12,ya
uia,27,"(1, 1, 1)",13,uya
aiu,28,"(1, 1, 1)",13,ayu
iau,29,"(1, 1, 1)",13,yo
aui,30,"(1, 1, 1)",13,awi
uai,31,"(1, 1, 1)",13,we
iua,32,"(1, 1, 1)",13,iwa
uuia,33,"(1, 1, 2)",14,Uya
uuai,34,"(1, 1, 2)",14,uwe
iuua,35,"(1, 1, 2)",14,yuwa
uaui,36,"(1, 1, 2)",14,wawi
auiu,37,"(1, 1, 2)",14,oyu
iauu,38,"(1, 1, 2)",14,yaU
uaiu,39,"(1, 1, 2)",14,wayu
uiau,40,"(1, 1, 2)",14,uyo
iuau,41,"(1, 1, 2)",14,iwo
auui,42,"(1, 1, 2)",14,owi
uiua,43,"(1, 1, 2)",14,wiwa
aiuu,44,"(1, 1, 2)",14,eU
aai,45,"(1, 2, 0)",15,ae
aia,46,"(1, 2, 0)",15,aya
iaa,47,"(1, 2, 0)",15,iA
aaiu,48,"(1, 2, 1)",16,Ayu
aaui,49,"(1, 2, 1)",16,Awi
aiua,50,"(1, 2, 1)",16,ewa
auai,51,"(1, 2, 1)",16,awe
auia,52,"(1, 2, 1)",16,oya
iaua,53,"(1, 2, 1)",16,yawa
uaia,54,"(1, 2, 1)",16,waya
uiaa,55,"(1, 2, 1)",16,wiA
iuaa,56,"(1, 2, 1)",16,yuA
aiau,57,"(1, 2, 1)",16,ayo
iaau,58,"(1, 2, 1)",16,yao
uaai,59,"(1, 2, 1)",16,wae
aiauu,60,"(1, 2, 2)",17,ayaU
aiuau,61,"(1, 2, 2)",17,ewo
uuaai,62,"(1, 2, 2)",17,uwae
auaiu,63,"(1, 2, 2)",17,awayu
uuiaa,64,"(1, 2, 2)",17,uwiA
uauia,65,"(1, 2, 2)",17,woya
iuuaa,66,"(1, 2, 2)",17,iUA
uiaau,67,"(1, 2, 2)",17,uyao
iauau,68,"(1, 2, 2)",17,yawo
iuaau,69,"(1, 2, 2)",17,iwao
aaiuu,70,"(1, 2, 2)",17,aeU
aiuua,71,"(1, 2, 2)",17,ayuwa
iauua,72,"(1, 2, 2)",17,yowa
uaiau,73,"(1, 2, 2)",17,wayo
auiau,74,"(1, 2, 2)",17,oyo
uaaui,75,"(1, 2, 2)",17,uAwi
auuia,76,"(1, 2, 2)",17,aUya
uiaua,77,"(1, 2, 2)",17,uyawa
aauui,78,"(1, 2, 2)",17,aowi
iuaua,79,"(1, 2, 2)",17,iwawa
uauai,80,"(1, 2, 2)",17,wawe
iaauu,81,"(1, 2, 2)",17,iAU
uuaia,82,"(1, 2, 2)",17,uwaya
uiuaa,83,"(1, 2, 2)",17,uyuA
auaui,84,"(1, 2, 2)",17,awawi
uaaiu,85,"(1, 2, 2)",17,uAyu
auiua,86,"(1, 2, 2)",17,awiwa
uaiua,87,"(1, 2, 2)",17,wewa
auuai,88,"(1, 2, 2)",17,owe
aauiu,89,"(1, 2, 2)",17,aoyu
ii,90,"(2, 0, 0)",18,I
iui,91,"(2, 0, 1)",19,iwi
uii,92,"(2, 0, 1)",19,uI
iiu,93,"(2, 0, 1)",19,iyu
iuui,94,"(2, 0, 2)",20,yuwi
iiuu,95,"(2, 0, 2)",20,IU
uiiu,96,"(2, 0, 2)",20,wiyu
uiui,97,"(2, 0, 2)",20,wiwi
iuiu,98,"(2, 0, 2)",20,yuyu
uuii,99,"(2, 0, 2)",20,UI
iai,100,"(2, 1, 0)",21,ye
iia,101,"(2, 1, 0)",21,iya
aii,102,"(2, 1, 0)",21,aI
iiua,103,"(2, 1, 1)",22,Iwa
uiai,104,"(2, 1, 1)",22,uye
aiiu,105,"(2, 1, 1)",22,eyu
auii,106,"(2, 1, 1)",22,oI
iaiu,107,"(2, 1, 1)",22,yayu
iaui,108,"(2, 1, 1)",22,yawi
uaii,109,"(2, 1, 1)",22,waI
uiia,110,"(2, 1, 1)",22,wiya
iuai,111,"(2, 1, 1)",22,iwe
iuia,112,"(2, 1, 1)",22,yuya
iiau,113,"(2, 1, 1)",22,iyo
aiui,114,"(2, 1, 1)",22,ewi
aiiuu,115,"(2, 1, 2)",23,aIU
uiaiu,116,"(2, 1, 2)",23,uyayu
uuiai,117,"(2, 1, 2)",23,Uye
iuiua,118,"(2, 1, 2)",23,iwiwa
uaiiu,119,"(2, 1, 2)",23,weyu
uiiau,120,"(2, 1, 2)",23,wiyo
iuuai,121,"(2, 1, 2)",23,yuwe
uauii,122,"(2, 1, 2)",23,woI
iiuua,123,"(2, 1, 2)",23,iyuwa
aiuui,124,"(2, 1, 2)",23,ayuwi
iauui,125,"(2, 1, 2)",23,yowi
uiuia,126,"(2, 1, 2)",23,uyuya
auuii,127,"(2, 1, 2)",23,aUI
aiuiu,128,"(2, 1, 2)",23,ayuyu
iuaui,129,"(2, 1, 2)",23,iwawi
uiaui,130,"(2, 1, 2)",23,uyawi
uiiua,131,"(2, 1, 2)",23,uIwa
uuaii,132,"(2, 1, 2)",23,uwaI
uuiia,133,"(2, 1, 2)",23,uwiya
uiuai,134,"(2, 1, 2)",23,wiwe
iaiuu,135,"(2, 1, 2)",23,yeU
iauiu,136,"(2, 1, 2)",23,yoyu
iuiau,137,"(2, 1, 2)",23,yuyo
auiui,138,"(2, 1, 2)",23,awiwi
iuuia,139,"(2, 1, 2)",23,iUya
uaiui,140,"(2, 1, 2)",23,wewi
iiauu,141,"(2, 1, 2)",23,iyaU
iuaiu,142,"(2, 1, 2)",23,iwayu
iiuau,143,"(2, 1, 2)",23,Iwo
auiiu,144,"(2, 1, 2)",23,awiyu
iiaa,145,"(2, 2, 0)",24,IA
aiai,146,"(2, 2, 0)",24,aye
aaii,147,"(2, 2, 0)",24,AI
aiia,148,"(2, 2, 0)",24,eya
iaia,149,"(2, 2, 0)",24,yaya
iaai,150,"(2, 2, 0)",24,yae
iaaui,151,"(2, 2, 1)",25,iAwi
iaiua,152,"(2, 2, 1)",25,yewa
iauia,153,"(2, 2, 1)",25,yoya
uaaii,154,"(2, 2, 1)",25,uAI
iuiaa,155,"(2, 2, 1)",25,iwiA
iaaiu,156,"(2, 2, 1)",25,iAyu
iiaua,157,"(2, 2, 1)",25,iyawa
aaiui,158,"(2, 2, 1)",25,aewi
iuaia,159,"(2, 2, 1)",25,iwaya
iiuaa,160,"(2, 2, 1)",25,iyuA
auiia,161,"(2, 2, 1)",25,awiya
aauii,162,"(2, 2, 1)",25,aoI
aiuai,163,"(2, 2, 1)",25,ewe
aiaui,164,"(2, 2, 1)",25,ayawi
aiiua,165,"(2, 2, 1)",25,aIwa
aaiiu,166,"(2, 2, 1)",25,aeyu
auaii,167,"(2, 2, 1)",25,awaI
uiaia,168,"(2, 2, 1)",25,uyaya
aiaiu,169,"(2, 2, 1)",25,ayayu
uaiia,170,"(2, 2, 1)",25,weya
uiiaa,171,"(2, 2, 1)",25,uIA
iauai,172,"(2, 2, 1)",25,yawe
iaiau,173,"(2, 2, 1)",25,yayo
iuaai,174,"(2, 2, 1)",25,iwae
uiaai,175,"(2, 2, 1)",25,uyae
uaiai,176,"(2, 2, 1)",25,waye
iiaau,177,"(2, 2, 1)",25,iyao
auiai,178,"(2, 2, 1)",25,oye
aiiau,179,"(2, 2, 1)",25,eyo
aiuia,180,"(2, 2, 1)",25,ayuya
iiuaau,181,"(2, 2, 2)",26,Iwao
aiaiuu,182,"(2, 2, 2)",26,ayeU
uiuiaa,183,"(2, 2, 2)",26,wiwiA
iiaauu,184,"(2, 2, 2)",26,IAU
iaauiu,185,"(2, 2, 2)",26,yaoyu
iiauau,186,"(2, 2, 2)",26,iyawo
uaiaiu,187,"(2, 2, 2)",26,wayayu
aaiiuu,188,"(2, 2, 2)",26,AIU
aauiiu,189,"(2, 2, 2)",26,Awiyu
auiiau,190,"(2, 2, 2)",26,awiyo
auiuia,191,"(2, 2, 2)",26,oyuya
iaiuua,192,"(2, 2, 2)",26,yayuwa
aiiauu,193,"(2, 2, 2)",26,eyaU
uuiaai,194,"(2, 2, 2)",26,Uyae
uiaaiu,195,"(2, 2, 2)",26,wiAyu
aaiuui,196,"(2, 2, 2)",26,Ayuwi
auiuai,197,"(2, 2, 2)",26,awiwe
aiauiu,198,"(2, 2, 2)",26,ayoyu
aiuiau,199,"(2, 2, 2)",26,ayuyo
iaauui,200,"(2, 2, 2)",26,yaowi
iuuaia,201,"(2, 2, 2)",26,yuwaya
uauiai,202,"(2, 2, 2)",26,woye
iuaaui,203,"(2, 2, 2)",26,yuAwi
iauaui,204,"(2, 2, 2)",26,yawawi
uiiaau,205,"(2, 2, 2)",26,wiyao
uuiiaa,206,"(2, 2, 2)",26,UIA
aiuaiu,207,"(2, 2, 2)",26,ewayu
iuauai,208,"(2, 2, 2)",26,iwawe
