Valid Path,Path Number,Destination Coordinate,Destination Index,After Phonetic Merger
u,1,"(0, 0, 1)",1,u
uu,2,"(0, 0, 2)",2,U
a,3,"(0, 1, 0)",3,a
ua,4,"(0, 1, 1)",4,wa
au,5,"(0, 1, 1)",4,o
auu,6,"(0, 1, 2)",5,aU
uau,7,"(0, 1, 2)",5,wo
uua,8,"(0, 1, 2)",5,uwa
aa,9,"(0, 2, 0)",6,A
aua,10,"(0, 2, 1)",7,awa
aau,11,"(0, 2, 1)",7,ao
uaa,12,"(0, 2, 1)",7,uA
auua,13,"(0, 2, 2)",8,owa
uaua,14,"(0, 2, 2)",8,wawa
uaau,15,"(0, 2, 2)",8,wao
uuaa,16,"(0, 2, 2)",8,UA
auau,17,"(0, 2, 2)",8,awo
aauu,18,"(0, 2, 2)",8,AU
i,19,"(1, 0, 0)",9,i
ui,20,"(1, 0, 1)",10,wi
iu,21,"(1, 0, 1)",10,yu
iuu,22,"(1, 0, 2)",11,iU
uiu,23,"(1, 0, 2)",11,uyu
uui,24,"(1, 0, 2)",11,uwi
ia,25,"(1, 1, 0)",12,ya
ai,26,"(1, 1, 0)",12,e
iau,27,"(1, 1, 1)",13,yo
aiu,28,"(1, 1, 1)",13,ayu
uia,29,"(1, 1, 1)",13,uya
iua,30,"(1, 1, 1)",13,iwa
aui,31,"(1, 1, 1)",13,awi
uai,32,"(1, 1, 1)",13,we
uuai,33,"(1, 1, 2)",14,uwe
aiuu,34,"(1, 1, 2)",14,eU
iuua,35,"(1, 1, 2)",14,yuwa
uiau,36,"(1, 1, 2)",14,uyo
uaiu,37,"(1, 1, 2)",14,wayu
iuau,38,"(1, 1, 2)",14,iwo
auui,39,"(1, 1, 2)",14,owi
iauu,40,"(1, 1, 2)",14,yaU
uuia,41,"(1, 1, 2)",14,Uya
uaui,42,"(1, 1, 2)",14,wawi
uiua,43,"(1, 1, 2)",14,wiwa
auiu,44,"(1, 1, 2)",14,oyu
aia,45,"(1, 2, 0)",15,aya
aai,46,"(1, 2, 0)",15,ae
iaa,47,"(1, 2, 0)",15,iA
aaiu,48,"(1, 2, 1)",16,Ayu
uaai,49,"(1, 2, 1)",16,wae
auia,50,"(1, 2, 1)",16,oya
aiua,51,"(1, 2, 1)",16,ewa
auai,52,"(1, 2, 1)",16,awe
uiaa,53,"(1, 2, 1)",16,wiA
aaui,54,"(1, 2, 1)",16,Awi
iaau,55,"(1, 2, 1)",16,yao
uaia,56,"(1, 2, 1)",16,waya
iuaa,57,"(1, 2, 1)",16,yuA
iaua,58,"(1, 2, 1)",16,yawa
aiau,59,"(1, 2, 1)",16,ayo
uiaua,60,"(1, 2, 2)",17,uyawa
aiuua,61,"(1, 2, 2)",17,ayuwa
iaauu,62,"(1, 2, 2)",17,iAU
uaiua,63,"(1, 2, 2)",17,wewa
uiaau,64,"(1, 2, 2)",17,uyao
iuaua,65,"(1, 2, 2)",17,iwawa
auaiu,66,"(1, 2, 2)",17,awayu
uaaui,67,"(1, 2, 2)",17,uAwi
auiua,68,"(1, 2, 2)",17,awiwa
iuaau,69,"(1, 2, 2)",17,iwao
auuai,70,"(1, 2, 2)",17,owe
auiau,71,"(1, 2, 2)",17,oyo
uaiau,72,"(1, 2, 2)",17,wayo
uuiaa,73,"(1, 2, 2)",17,uwiA
aiuau,74,"(1, 2, 2)",17,ewo
auuia,75,"(1, 2, 2)",17,aUya
iuuaa,76,"(1, 2, 2)",17,iUA
uiuaa,77,"(1, 2, 2)",17,uyuA
uauai,78,"(1, 2, 2)",17,wawe
uuaai,79,"(1, 2, 2)",17,uwae
aauui,80,"(1, 2, 2)",17,aowi
uaaiu,81,"(1, 2, 2)",17,uAyu
iauua,82,"(1, 2, 2)",17,yowa
aaiuu,83,"(1, 2, 2)",17,aeU
uauia,84,"(1, 2, 2)",17,woya
uuaia,85,"(1, 2, 2)",17,uwaya
aiauu,86,"(1, 2, 2)",17,ayaU
auaui,87,"(1, 2, 2)",17,awawi
iauau,88,"(1, 2, 2)",17,yawo
aauiu,89,"(1, 2, 2)",17,aoyu
ii,90,"(2, 0, 0)",18,I
uii,91,"(2, 0, 1)",19,uI
iui,92,"(2, 0, 1)",19,iwi
iiu,93,"(2, 0, 1)",19,iyu
uiui,94,"(2, 0, 2)",20,wiwi
uiiu,95,"(2, 0, 2)",20,wiyu
iuiu,96,"(2, 0, 2)",20,yuyu
iuui,97,"(2, 0, 2)",20,yuwi
iiuu,98,"(2, 0, 2)",20,IU
uuii,99,"(2, 0, 2)",20,UI
iai,100,"(2, 1, 0)",21,ye
iia,101,"(2, 1, 0)",21,iya
aii,102,"(2, 1, 0)",21,aI
uaii,103,"(2, 1, 1)",22,waI
iuia,104,"(2, 1, 1)",22,yuya
uiai,105,"(2, 1, 1)",22,uye
iiua,106,"(2, 1, 1)",22,Iwa
iaui,107,"(2, 1, 1)",22,yawi
iuai,108,"(2, 1, 1)",22,iwe
uiia,109,"(2, 1, 1)",22,wiya
iiau,110,"(2, 1, 1)",22,iyo
auii,111,"(2, 1, 1)",22,oI
aiiu,112,"(2, 1, 1)",22,eyu
iaiu,113,"(2, 1, 1)",22,yayu
aiui,114,"(2, 1, 1)",22,ewi
iaiuu,115,"(2, 1, 2)",23,yeU
iuiua,116,"(2, 1, 2)",23,iwiwa
auiiu,117,"(2, 1, 2)",23,awiyu
uaiiu,118,"(2, 1, 2)",23,weyu
iiuua,119,"(2, 1, 2)",23,iyuwa
iauui,120,"(2, 1, 2)",23,yowi
uauii,121,"(2, 1, 2)",23,woI
uuaii,122,"(2, 1, 2)",23,uwaI
uuiia,123,"(2, 1, 2)",23,uwiya
uiuia,124,"(2, 1, 2)",23,uyuya
aiiuu,125,"(2, 1, 2)",23,aIU
iiuau,126,"(2, 1, 2)",23,Iwo
iuiau,127,"(2, 1, 2)",23,yuyo
iauiu,128,"(2, 1, 2)",23,yoyu
aiuui,129,"(2, 1, 2)",23,ayuwi
uiaui,130,"(2, 1, 2)",23,uyawi
uaiui,131,"(2, 1, 2)",23,wewi
uiaiu,132,"(2, 1, 2)",23,uyayu
uiiua,133,"(2, 1, 2)",23,uIwa
iuaui,134,"(2, 1, 2)",23,iwawi
auiui,135,"(2, 1, 2)",23,awiwi
iiauu,136,"(2, 1, 2)",23,iyaU
uiiau,137,"(2, 1, 2)",23,wiyo
uuiai,138,"(2, 1, 2)",23,Uye
iuuia,139,"(2, 1, 2)",23,iUya
iuuai,140,"(2, 1, 2)",23,yuwe
aiuiu,141,"(2, 1, 2)",23,ayuyu
uiuai,142,"(2, 1, 2)",23,wiwe
iuaiu,143,"(2, 1, 2)",23,iwayu
auuii,144,"(2, 1, 2)",23,aUI
aiia,145,"(2, 2, 0)",24,eya
iaia,146,"(2, 2, 0)",24,yaya
iaai,147,"(2, 2, 0)",24,yae
aiai,148,"(2, 2, 0)",24,aye
iiaa,149,"(2, 2, 0)",24,IA
aaii,150,"(2, 2, 0)",24,AI
iiuaa,151,"(2, 2, 1)",25,iyuA
aiaui,152,"(2, 2, 1)",25,ayawi
aiiua,153,"(2, 2, 1)",25,aIwa
aaiiu,154,"(2, 2, 1)",25,aeyu
iauai,155,"(2, 2, 1)",25,yawe
iuiaa,156,"(2, 2, 1)",25,iwiA
aauii,157,"(2, 2, 1)",25,aoI
iauia,158,"(2, 2, 1)",25,yoya
aiiau,159,"(2, 2, 1)",25,eyo
iaaui,160,"(2, 2, 1)",25,iAwi
uiaia,161,"(2, 2, 1)",25,uyaya
aiaiu,162,"(2, 2, 1)",25,ayayu
uiaai,163,"(2, 2, 1)",25,uyae
auaii,164,"(2, 2, 1)",25,awaI
iiaua,165,"(2, 2, 1)",25,iyawa
uiiaa,166,"(2, 2, 1)",25,uIA
iuaai,167,"(2, 2, 1)",25,iwae
auiai,168,"(2, 2, 1)",25,oye
uaiai,169,"(2, 2, 1)",25,waye
aiuia,170,"(2, 2, 1)",25,ayuya
iaaiu,171,"(2, 2, 1)",25,iAyu
aiuai,172,"(2, 2, 1)",25,ewe
iiaau,173,"(2, 2, 1)",25,iyao
iuaia,174,"(2, 2, 1)",25,iwaya
auiia,175,"(2, 2, 1)",25,awiya
iaiua,176,"(2, 2, 1)",25,yewa
uaaii,177,"(2, 2, 1)",25,uAI
uaiia,178,"(2, 2, 1)",25,weya
aaiui,179,"(2, 2, 1)",25,aewi
iaiau,180,"(2, 2, 1)",25,yayo
uaauii,181,"(2, 2, 2)",26,waoI
aiaiuu,182,"(2, 2, 2)",26,ayeU
auauii,183,"(2, 2, 2)",26,awoI
auuiia,184,"(2, 2, 2)",26,owiya
aiauui,185,"(2, 2, 2)",26,ayowi
aiuiua,186,"(2, 2, 2)",26,ewiwa
aaiuiu,187,"(2, 2, 2)",26,Ayuyu
iaiauu,188,"(2, 2, 2)",26,yayaU
uaiuai,189,"(2, 2, 2)",26,wewe
uaaiiu,190,"(2, 2, 2)",26,waeyu
uauiai,191,"(2, 2, 2)",26,woye
iuuaia,192,"(2, 2, 2)",26,yuwaya
auiuai,193,"(2, 2, 2)",26,awiwe
uuiaia,194,"(2, 2, 2)",26,Uyaya
auaiui,195,"(2, 2, 2)",26,awewi
aauiui,196,"(2, 2, 2)",26,Awiwi
uiiaau,197,"(2, 2, 2)",26,wiyao
uiuaia,198,"(2, 2, 2)",26,wiwaya
uuaiia,199,"(2, 2, 2)",26,uweya
uuaaii,200,"(2, 2, 2)",26,UAI
auaiiu,201,"(2, 2, 2)",26,aweyu
iaauui,202,"(2, 2, 2)",26,yaowi
uiauia,203,"(2, 2, 2)",26,uyoya
uaaiui,204,"(2, 2, 2)",26,waewi
iiauua,205,"(2, 2, 2)",26,iyowa
iiuaau,206,"(2, 2, 2)",26,Iwao
iaauiu,207,"(2, 2, 2)",26,yaoyu
aiiuau,208,"(2, 2, 2)",26,aIwo
uiaaui,209,"(2, 2, 2)",26,wiAwi
