Valid Path,Path Number,Destination Coordinate,Destination Index,After Phonetic Merger
u,1,"(0, 0, 1)",1,u
uu,2,"(0, 0, 2)",2,U
a,3,"(0, 1, 0)",3,a
ua,4,"(0, 1, 1)",4,wa
au,5,"(0, 1, 1)",4,o
auu,6,"(0, 1, 2)",5,aU
uua,7,"(0, 1, 2)",5,uwa
uau,8,"(0, 1, 2)",5,wo
aa,9,"(0, 2, 0)",6,A
aua,10,"(0, 2, 1)",7,awa
uaa,11,"(0, 2, 1)",7,uA
aau,12,"(0, 2, 1)",7,ao
uaua,13,"(0, 2, 2)",8,wawa
auau,14,"(0, 2, 2)",8,awo
uuaa,15,"(0, 2, 2)",8,UA
uaau,16,"(0, 2, 2)",8,wao
auua,17,"(0, 2, 2)",8,owa
aauu,18,"(0, 2, 2)",8,AU
i,19,"(1, 0, 0)",9,i
ui,20,"(1, 0, 1)",10,wi
iu,21,"(1, 0, 1)",10,yu
iuu,22,"(1, 0, 2)",11,iU
uui,23,"(1, 0, 2)",11,uwi
uiu,24,"(1, 0, 2)",11,uyu
ia,25,"(1, 1, 0)",12,ya
ai,26,"(1, 1, 0)",12,e
uai,27,"(1, 1, 1)",13,we
iua,28,"(1, 1, 1)",13,iwa
aui,29,"(1, 1, 1)",13,awi
uia,30,"(1, 1, 1)",13,uya
aiu,31,"(1, 1, 1)",13,ayu
iau,32,"(1, 1, 1)",13,yo
iuua,33,"(1, 1, 2)",14,yuwa
iuau,34,"(1, 1, 2)",14,iwo
uuia,35,"(1, 1, 2)",14,Uya
auui,36,"(1, 1, 2)",14,owi
uuai,37,"(1, 1, 2)",14,uwe
iauu,38,"(1, 1, 2)",14,yaU
uaui,39,"(1, 1, 2)",14,wawi
auiu,40,"(1, 1, 2)",14,oyu
uiua,41,"(1, 1, 2)",14,wiwa
uaiu,42,"(1, 1, 2)",14,wayu
uiau,43,"(1, 1, 2)",14,uyo
aiuu,44,"(1, 1, 2)",14,eU
iaa,45,"(1, 2, 0)",15,iA
aia,46,"(1, 2, 0)",15,aya
aai,47,"(1, 2, 0)",15,ae
aaui,48,"(1, 2, 1)",16,Awi
aiau,49,"(1, 2, 1)",16,ayo
auia,50,"(1, 2, 1)",16,oya
aaiu,51,"(1, 2, 1)",16,Ayu
uiaa,52,"(1, 2, 1)",16,wiA
iaau,53,"(1, 2, 1)",16,yao
uaia,54,"(1, 2, 1)",16,waya
auai,55,"(1, 2, 1)",16,awe
aiua,56,"(1, 2, 1)",16,ewa
iuaa,57,"(1, 2, 1)",16,yuA
uaai,58,"(1, 2, 1)",16,wae
iaua,59,"(1, 2, 1)",16,yawa
aauui,60,"(1, 2, 2)",17,aowi
iuaua,61,"(1, 2, 2)",17,iwawa
aiuau,62,"(1, 2, 2)",17,ewo
uaaui,63,"(1, 2, 2)",17,uAwi
auiua,64,"(1, 2, 2)",17,awiwa
uaiau,65,"(1, 2, 2)",17,wayo
uauai,66,"(1, 2, 2)",17,wawe
aaiuu,67,"(1, 2, 2)",17,aeU
uaiua,68,"(1, 2, 2)",17,wewa
auaiu,69,"(1, 2, 2)",17,awayu
uuaia,70,"(1, 2, 2)",17,uwaya
auuia,71,"(1, 2, 2)",17,aUya
aauiu,72,"(1, 2, 2)",17,aoyu
uaaiu,73,"(1, 2, 2)",17,uAyu
uiuaa,74,"(1, 2, 2)",17,uyuA
iuuaa,75,"(1, 2, 2)",17,iUA
uuiaa,76,"(1, 2, 2)",17,uwiA
iauua,77,"(1, 2, 2)",17,yowa
auaui,78,"(1, 2, 2)",17,awawi
iaauu,79,"(1, 2, 2)",17,iAU
uuaai,80,"(1, 2, 2)",17,uwae
auuai,81,"(1, 2, 2)",17,owe
uauia,82,"(1, 2, 2)",17,woya
iauau,83,"(1, 2, 2)",17,yawo
uiaua,84,"(1, 2, 2)",17,uyawa
uiaau,85,"(1, 2, 2)",17,uyao
iuaau,86,"(1, 2, 2)",17,iwao
aiauu,87,"(1, 2, 2)",17,ayaU
aiuua,88,"(1, 2, 2)",17,ayuwa
auiau,89,"(1, 2, 2)",17,oyo
ii,90,"(2, 0, 0)",18,I
uii,91,"(2, 0, 1)",19,uI
iui,92,"(2, 0, 1)",19,iwi
iiu,93,"(2, 0, 1)",19,iyu
uiui,94,"(2, 0, 2)",20,wiwi
uiiu,95,"(2, 0, 2)",20,wiyu
iuui,96,"(2, 0, 2)",20,yuwi
uuii,97,"(2, 0, 2)",20,UI
iuiu,98,"(2, 0, 2)",20,yuyu
iiuu,99,"(2, 0, 2)",20,IU
iai,100,"(2, 1, 0)",21,ye
aii,101,"(2, 1, 0)",21,aI
iia,102,"(2, 1, 0)",21,iya
uiia,103,"(2, 1, 1)",22,wiya
uiai,104,"(2, 1, 1)",22,uye
aiui,105,"(2, 1, 1)",22,ewi
aiiu,106,"(2, 1, 1)",22,eyu
iuia,107,"(2, 1, 1)",22,yuya
iuai,108,"(2, 1, 1)",22,iwe
iaui,109,"(2, 1, 1)",22,yawi
iiua,110,"(2, 1, 1)",22,Iwa
auii,111,"(2, 1, 1)",22,oI
iiau,112,"(2, 1, 1)",22,iyo
iaiu,113,"(2, 1, 1)",22,yayu
uaii,114,"(2, 1, 1)",22,waI
uiuai,115,"(2, 1, 2)",23,wiwe
iauui,116,"(2, 1, 2)",23,yowi
iuuai,117,"(2, 1, 2)",23,yuwe
uuiai,118,"(2, 1, 2)",23,Uye
uiiua,119,"(2, 1, 2)",23,uIwa
uauii,120,"(2, 1, 2)",23,woI
iuiua,121,"(2, 1, 2)",23,iwiwa
iaiuu,122,"(2, 1, 2)",23,yeU
uaiiu,123,"(2, 1, 2)",23,weyu
iuiau,124,"(2, 1, 2)",23,yuyo
uiiau,125,"(2, 1, 2)",23,wiyo
uiaui,126,"(2, 1, 2)",23,uyawi
aiuui,127,"(2, 1, 2)",23,ayuwi
iuaui,128,"(2, 1, 2)",23,iwawi
auiui,129,"(2, 1, 2)",23,awiwi
aiiuu,130,"(2, 1, 2)",23,aIU
uuiia,131,"(2, 1, 2)",23,uwiya
uiuia,132,"(2, 1, 2)",23,uyuya
iiuau,133,"(2, 1, 2)",23,Iwo
iuuia,134,"(2, 1, 2)",23,iUya
iauiu,135,"(2, 1, 2)",23,yoyu
uaiui,136,"(2, 1, 2)",23,wewi
iiuua,137,"(2, 1, 2)",23,iyuwa
uuaii,138,"(2, 1, 2)",23,uwaI
iuaiu,139,"(2, 1, 2)",23,iwayu
uiaiu,140,"(2, 1, 2)",23,uyayu
auuii,141,"(2, 1, 2)",23,aUI
auiiu,142,"(2, 1, 2)",23,awiyu
aiuiu,143,"(2, 1, 2)",23,ayuyu
iiauu,144,"(2, 1, 2)",23,iyaU
aiia,145,"(2, 2, 0)",24,eya
iiaa,146,"(2, 2, 0)",24,IA
aiai,147,"(2, 2, 0)",24,aye
iaia,148,"(2, 2, 0)",24,yaya
aaii,149,"(2, 2, 0)",24,AI
iaai,150,"(2, 2, 0)",24,yae
iiuaa,151,"(2, 2, 1)",25,iyuA
iauia,152,"(2, 2, 1)",25,yoya
auaii,153,"(2, 2, 1)",25,awaI
iaaiu,154,"(2, 2, 1)",25,iAyu
uiaia,155,"(2, 2, 1)",25,uyaya
iuaia,156,"(2, 2, 1)",25,iwaya
aiaiu,157,"(2, 2, 1)",25,ayayu
auiia,158,"(2, 2, 1)",25,awiya
aiuia,159,"(2, 2, 1)",25,ayuya
iiaua,160,"(2, 2, 1)",25,iyawa
aauii,161,"(2, 2, 1)",25,aoI
uaaii,162,"(2, 2, 1)",25,uAI
iiaau,163,"(2, 2, 1)",25,iyao
aaiiu,164,"(2, 2, 1)",25,aeyu
iaaui,165,"(2, 2, 1)",25,iAwi
uiiaa,166,"(2, 2, 1)",25,uIA
uaiia,167,"(2, 2, 1)",25,weya
iuiaa,168,"(2, 2, 1)",25,iwiA
iaiua,169,"(2, 2, 1)",25,yewa
iauai,170,"(2, 2, 1)",25,yawe
iaiau,171,"(2, 2, 1)",25,yayo
uiaai,172,"(2, 2, 1)",25,uyae
iuaai,173,"(2, 2, 1)",25,iwae
aiaui,174,"(2, 2, 1)",25,ayawi
auiai,175,"(2, 2, 1)",25,oye
aiiau,176,"(2, 2, 1)",25,eyo
aiuai,177,"(2, 2, 1)",25,ewe
aiiua,178,"(2, 2, 1)",25,aIwa
uaiai,179,"(2, 2, 1)",25,waye
aaiui,180,"(2, 2, 1)",25,aewi
uuaaii,181,"(2, 2, 2)",26,UAI
uiiuaa,182,"(2, 2, 2)",26,wiyuA
uaaiui,183,"(2, 2, 2)",26,waewi
auuaii,184,"(2, 2, 2)",26,owaI
iuiaua,185,"(2, 2, 2)",26,yuyawa
uiuaai,186,"(2, 2, 2)",26,wiwae
uauaii,187,"(2, 2, 2)",26,wawaI
aauiui,188,"(2, 2, 2)",26,Awiwi
iaauui,189,"(2, 2, 2)",26,yaowi
aiaiuu,190,"(2, 2, 2)",26,ayeU
uaauii,191,"(2, 2, 2)",26,waoI
iaaiuu,192,"(2, 2, 2)",26,yaeU
uaaiiu,193,"(2, 2, 2)",26,waeyu
aiuuai,194,"(2, 2, 2)",26,ayuwe
iuuiaa,195,"(2, 2, 2)",26,yuwiA
uuiaia,196,"(2, 2, 2)",26,Uyaya
aauiiu,197,"(2, 2, 2)",26,Awiyu
aiuiau,198,"(2, 2, 2)",26,ayuyo
iaauiu,199,"(2, 2, 2)",26,yaoyu
uiuiaa,200,"(2, 2, 2)",26,wiwiA
iuuaai,201,"(2, 2, 2)",26,yuwae
iauuai,202,"(2, 2, 2)",26,yowe
aiuaui,203,"(2, 2, 2)",26,ewawi
uiaiau,204,"(2, 2, 2)",26,uyayo
auiuia,205,"(2, 2, 2)",26,oyuya
uiiaau,206,"(2, 2, 2)",26,wiyao
iauiau,207,"(2, 2, 2)",26,yoyo
iiuuaa,208,"(2, 2, 2)",26,IUA
